"","Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","ADX","TrigLevel","DateTime"
"455","12/31/2019","08:10",3217.5,3217.75,3216.75,3217.25,387,787,3219.61,3220.86,38.98,20,"12/31/2019 08:10"
"456","12/31/2019","08:15",3217.25,3218.25,3217,3217.75,785,583,3219.06,3220.64,39.74,20,"12/31/2019 08:15"
"457","12/31/2019","08:20",3217.5,3218,3216.25,3216.75,2267,2427,3218.5,3220.43,40.73,20,"12/31/2019 08:20"
"458","12/31/2019","08:25",3216.75,3217.25,3216.5,3217.25,719,679,3218.06,3220.22,41.65,20,"12/31/2019 08:25"
"459","12/31/2019","08:30",3217,3217.25,3215.5,3217,2372,4095,3217.67,3220.03,42.87,20,"12/31/2019 08:30"
"460","12/31/2019","08:35",3217,3222,3213,3219.5,30490,30149,3217.72,3219.85,39.92,20,"12/31/2019 08:35"
"461","12/31/2019","08:40",3219.5,3225,3219.5,3223.25,16361,12093,3218.22,3219.78,38.39,20,"12/31/2019 08:40"
"462","12/31/2019","08:45",3223.5,3224.25,3222.25,3223,7664,7598,3218.81,3219.76,36.97,20,"12/31/2019 08:45"
"463","12/31/2019","08:50",3223,3226.75,3222.75,3226,9624,6102,3219.75,3219.96,36.58,20,"12/31/2019 08:50"
"464","12/31/2019","08:55",3226.25,3226.5,3224,3224,7416,7698,3220.5,3220.06,36.22,20,"12/31/2019 08:55"
"465","12/31/2019","09:00",3224,3224.75,3223.25,3224,5454,3854,3221.19,3220.13,35.39,20,"12/31/2019 09:00"
"466","12/31/2019","09:05",3224.25,3225,3221.25,3222,8297,11286,3221.78,3220.14,33.45,20,"12/31/2019 09:05"
"467","12/31/2019","09:10",3222,3223.25,3219.75,3222.75,9301,8716,3222.39,3220.22,31.22,20,"12/31/2019 09:10"
"468","12/31/2019","09:15",3222.75,3223.25,3221,3222.25,6081,5184,3222.97,3220.32,29.14,20,"12/31/2019 09:15"
"469","12/31/2019","09:20",3222.5,3223.25,3222,3222.5,3211,3352,3223.31,3220.51,27.21,20,"12/31/2019 09:20"
"470","12/31/2019","09:25",3222.5,3222.75,3221.5,3221.75,3962,3951,3223.14,3220.68,25.69,20,"12/31/2019 09:25"
"471","12/31/2019","09:30",3222,3222,3219,3219.25,5784,7651,3222.72,3220.76,25.43,20,"12/31/2019 09:30"
"472","12/31/2019","09:35",3219.25,3219.75,3217.25,3218.25,7487,7042,3221.86,3220.81,25.83,20,"12/31/2019 09:35"
"473","12/31/2019","09:40",3218,3220.25,3218,3219.25,6361,5328,3221.33,3220.92,25.88,20,"12/31/2019 09:40"
"474","12/31/2019","09:45",3219.25,3219.5,3217.5,3218,5138,4557,3220.67,3220.93,26.11,20,"12/31/2019 09:45"
"475","12/31/2019","09:50",3217.75,3218.75,3216.5,3217,5765,7313,3220.11,3220.94,26.68,20,"12/31/2019 09:50"
"476","12/31/2019","09:55",3217.25,3217.25,3215.5,3217.25,5606,4317,3219.5,3220.94,27.55,20,"12/31/2019 09:55"
"477","12/31/2019","10:00",3217.25,3218,3215.5,3215.75,4405,6677,3218.78,3220.88,27.82,20,"12/31/2019 10:00"
"478","12/31/2019","10:05",3215.75,3218,3215.25,3218,6831,6194,3218.28,3220.79,28.16,20,"12/31/2019 10:05"
"479","12/31/2019","10:10",3218,3218.75,3217,3217.25,3858,4619,3217.78,3220.46,27.93,20,"12/31/2019 10:10"
"480","12/31/2019","10:15",3217.25,3218.25,3216.75,3217.25,3990,4202,3217.56,3220.14,27.82,20,"12/31/2019 10:15"
"481","12/31/2019","10:20",3217.25,3218.5,3216.25,3218.25,4293,2585,3217.56,3219.71,27.94,20,"12/31/2019 10:20"
"482","12/31/2019","10:25",3218.25,3218.5,3216.75,3217,2769,3109,3217.31,3219.32,28.06,20,"12/31/2019 10:25"
"483","12/31/2019","10:30",3217.25,3217.75,3216.25,3216.25,2064,3341,3217.11,3218.89,28.4,20,"12/31/2019 10:30"
"484","12/31/2019","10:35",3216.5,3216.5,3214.25,3215.25,4432,6912,3216.92,3218.51,29.51,20,"12/31/2019 10:35"
"485","12/31/2019","10:40",3215.25,3216.5,3215.25,3216.5,4003,3208,3216.83,3218.17,30.55,20,"12/31/2019 10:40"
"486","12/31/2019","10:45",3216.25,3217.75,3215.75,3217.75,5217,4772,3217.06,3217.92,30.4,20,"12/31/2019 10:45"
"487","12/31/2019","10:50",3217.75,3220.25,3217.75,3219,6247,8187,3217.17,3217.72,28.53,20,"12/31/2019 10:50"
"488","12/31/2019","10:55",3219,3219.5,3218,3218,1994,4407,3217.25,3217.51,26.8,20,"12/31/2019 10:55"
"489","12/31/2019","11:00",3218,3218.25,3217,3217.75,3702,4392,3217.31,3217.43,25.74,20,"12/31/2019 11:00"
"490","12/31/2019","11:05",3217.5,3218,3216.5,3218,3113,4657,3217.28,3217.42,25.01,20,"12/31/2019 11:05"
